taxon,pollinator_group,order,family,genus,species,taxon_rank,pollinator_group_sociality
Ancistrocerus claripennis,Wasps,Hymenoptera,Vespidae,Ancistrocerus,claripennis,Species,Wasps
Ancistrocerus gazella,Wasps,Hymenoptera,Vespidae,Ancistrocerus,gazella,Species,Wasps
Andrena agilissima,Anthophila,Hymenoptera,Andrenidae,Andrena,agilissima,Species,no
Andrena bicolor,Anthophila,Hymenoptera,Andrenidae,Andrena,bicolor,Species,solitary_Bees
Andrena chrysosceles,Anthophila,Hymenoptera,Andrenidae,Andrena,chrysosceles,Species,solitary_Bees
Andrena dorsata,Anthophila,Hymenoptera,Andrenidae,Andrena,dorsata,Species,solitary_Bees
Andrena minutula,Anthophila,Hymenoptera,Andrenidae,Andrena,minutula,Species,solitary_Bees
Andrena minutuloides,Anthophila,Hymenoptera,Andrenidae,Andrena,minutuloides,Species,solitary_Bees
Andrena ovatula,Anthophila,Hymenoptera,Andrenidae,Andrena,ovatula,Species,solitary_Bees
Andrena subopaca,Anthophila,Hymenoptera,Andrenidae,Andrena,subopaca,Species,solitary_Bees
Anogcodes rufiventris,Beetles,Coleoptera,Oedemeridae,Anogcodes,rufiventris,Species,Beetles
Anoplius nigerrimus,Wasps,Hymenoptera,Pompilidae,Anoplius,nigerrimus,Species,Wasps
Anthaxia nitidula,Beetles,Coleoptera,Buprestidae,Anthaxia,nitidula,Species,Beetles
Anthidium manicatum,Anthophila,Hymenoptera,Megachilidae,Anthidium,manicatum,Species,solitary_Bees
Anthidium oblongatum,Anthophila,Hymenoptera,Megachilidae,Anthidium,oblongatum,Species,solitary_Bees
Anthidium punctatum,Anthophila,Hymenoptera,Megachilidae,Anthidium,punctatum,Species,solitary_Bees
Anthidium strigatum,Anthophila,Hymenoptera,Megachilidae,Anthidium,strigatum,Species,no
Apis mellifera,Anthophila,Hymenoptera,Apidae,Apis,mellifera,Species,Honeybees
Arachnospila spissa,Wasps,Hymenoptera,Pompilidae,Arachnospila,spissa,Species,Wasps
Bombus hortorum,Anthophila,Hymenoptera,Apidae,Bombus,hortorum,Species,social_Bees
Bombus humilis,Anthophila,Hymenoptera,Apidae,Bombus,humilis,Species,social_Bees
Bombus hypnorum,Anthophila,Hymenoptera,Apidae,Bombus,hypnorum,Species,social_Bees
Bombus lapidarius,Anthophila,Hymenoptera,Apidae,Bombus,lapidarius,Species,social_Bees
Bombus pascuorum,Anthophila,Hymenoptera,Apidae,Bombus,pascuorum,Species,social_Bees
Bombus pratorum,Anthophila,Hymenoptera,Apidae,Bombus,pratorum,Species,social_Bees
Bombus sp.,Anthophila,Hymenoptera,Apidae,Bombus,sp.,Genus,social_Bees
Bombus terrestris-complex,Anthophila,Hymenoptera,Apidae,Bombus,terrestris-complex,Species complex,social_Bees
Bombus vestalis,Anthophila,Hymenoptera,Apidae,Bombus,vestalis,Species,no
Bombus wurflenii,Anthophila,Hymenoptera,Apidae,Bombus,wurflenii,Species,social_Bees
Ceratina cyanea,Anthophila,Hymenoptera,Anthophorinae,Ceratina,cyanea,Species,solitary_Bees
Cerceris quinquefasciata,Wasps,Hymenoptera,Crabronidae,Cerceris,quinquefasciata,Species,Wasps
Cerceris rybyensis,Wasps,Hymenoptera,Crabronidae,Cerceris,rybyensis,Species,Wasps
Cheilosia sp.,Hoverflies,Diptera,Syrphidae,Cheilosia,sp.,Genus,Hoverflies
Chelostoma campanularum,Anthophila,Hymenoptera,Megachilidae,Chelostoma,campanularum,Species,solitary_Bees
Chelostoma rapunculi,Anthophila,Hymenoptera,Megachilidae,Chelostoma,rapunculi,Species,solitary_Bees
Chrysididae,Wasps,Hymenoptera,Chrysididae,,,Family,Wasps
Chrysis gracillima,Wasps,Hymenoptera,Chrysididae,Chrysis,gracillima,Species,Wasps
Chrysis viridula,Wasps,Hymenoptera,Chrysididae,Chrysis,viridula,Species,Wasps
Chrysogaster solstitialis,Hoverflies,Diptera,Syrphidae,Chrysogaster,solstitialis,Species,Hoverflies
Chrysotoxum intermedium,Hoverflies,Diptera,Syrphidae,Chrysotoxum,intermedium,Species,Hoverflies
Chrysotoxum vernale,Hoverflies,Diptera,Syrphidae,Chrysotoxum,vernale,Species,Hoverflies
Clytra laeviuscula,Beetles,Coleoptera,Chrysomelidae,Clytra,laeviuscula,Species,Beetles
Clytus arietis,Beetles,Coleoptera,Cerambycidae,Clytus,arietis,Species,Beetles
Coleoptera,Beetles,Coleoptera,,,,Order,Beetles
Colletes daviesanus,Anthophila,Hymenoptera,Colletidae,Colletes,daviesanus,Species,solitary_Bees
Colletes similis,Anthophila,Hymenoptera,Colletidae,Colletes,similis,Species,solitary_Bees
Dasytes plumbeus,Beetles,Coleoptera,Dasytidae,Dasytes,plumbeus,Species,Beetles
Diptera,Hoverflies,Diptera,,,,Order,Hoverflies
Dolichovespula saxonica,Wasps,Hymenoptera,Vespidae,Dolichovespula,saxonica,Species,Wasps
Ectemnius dives,Wasps,Hymenoptera,Crabronidae,Ectemnius,dives,Species,Wasps
Ectemnius lituratus,Wasps,Hymenoptera,Crabronidae,Ectemnius,lituratus,Species,Wasps
Ectemnius rubicola,Wasps,Hymenoptera,Crabronidae,Ectemnius,rubicola,Species,Wasps
Epistrophe melanostoma,Hoverflies,Diptera,Syrphidae,Epistrophe,melanostoma,Species,Hoverflies
Episyrphus balteatus,Hoverflies,Diptera,Syrphidae,Episyrphus,balteatus,Species,Hoverflies
Eristalis arbustorum,Hoverflies,Diptera,Syrphidae,Eristalis,arbustorum,Species,Hoverflies
Eristalis interrupta,Hoverflies,Diptera,Syrphidae,Eristalis,interrupta,Species,Hoverflies
Eristalis pertinax,Hoverflies,Diptera,Syrphidae,Eristalis,pertinax,Species,Hoverflies
Eristalis tenax,Hoverflies,Diptera,Syrphidae,Eristalis,tenax,Species,Hoverflies
Eucera nigrescens,Anthophila,Hymenoptera,Anthophorinae,Eucera,nigrescens,Species,solitary_Bees
Eupeodes corollae,Hoverflies,Diptera,Syrphidae,Eupeodes,corollae,Species,Hoverflies
Eupeodes latilunulatus,Hoverflies,Diptera,Syrphidae,Eupeodes,latilunulatus,Species,Hoverflies
Eupeodes luniger,Hoverflies,Diptera,Syrphidae,Eupeodes,luniger,Species,Hoverflies
Gorytes quinquecinctus,Wasps,Hymenoptera,Crabronidae,Gorytes,quinquecinctus,Species,Wasps
Halictus simplex-complex,Anthophila,Hymenoptera,Halictidae,Halictus,simplex-complex,Species complex,social_Bees
Halictus tumulorum,Anthophila,Hymenoptera,Halictidae,Halictus,tumulorum,Species,no
Hedychrum gerstaeckeri,Wasps,Hymenoptera,Chrysididae,Hedychrum,gerstaeckeri,Species,Wasps
Helophilus pendulus,Hoverflies,Diptera,Syrphidae,Helophilus,pendulus,Species,Hoverflies
Holopyga generosa,Wasps,Hymenoptera,Chrysididae,Holopyga,generosa,Species,Wasps
Hoplia philanthus,Beetles,Coleoptera,Scarabaeidae,Hoplia,philanthus,Species,Beetles
Hylaeus brevicornis,Anthophila,Hymenoptera,Colletidae,Hylaeus,brevicornis,Species,solitary_Bees
Hylaeus clypearis,Anthophila,Hymenoptera,Colletidae,Hylaeus,clypearis,Species,solitary_Bees
