Id,plant_nr,plant_id,umbel_id,umbel_nr,n_umbels_assessed,n_seeds,exclude,comment
2,1,2_1,2_1_1,1,20,216,0,
2,2,2_2,2_2_1,1,20,200,0,
2,2,2_2,2_2_2,2,20,100,0,
2,2,2_2,2_2_3,3,20,92,0,
2,3,2_3,2_3_1,1,20,194,0,
2,4,2_4,2_4_1,1,20,316,0,
2,4,2_4,2_4_2,2,20,160,0,
2,4,2_4,2_4_3,3,20,207,0,
7,1,7_1,7_1_1,1,20,246,0,
7,1,7_1,7_1_2,2,20,254,0,
7,1,7_1,7_1_3,3,20,208,0,
7,1,7_1,7_1_4,4,20,153,0,
7,2,7_2,7_2_1,1,20,77,0,
7,2,7_2,7_2_2,2,12,49,0,
7,3,7_3,7_3_1,1,20,284,0,
7,3,7_3,7_3_2,2,20,115,0,
7,3,7_3,7_3_3,3,20,106,0,
7,4,7_4,7_4_1,1,20,289,0,
7,4,7_4,7_4_2,2,20,210,0,
7,4,7_4,7_4_3,3,20,149,0,
8,2,8_2,8_2_1,1,20,45,0,poor seed set?
8,1,8_1,8_1_1,1,20,374,0,
8,1,8_1,8_1_2,2,20,194,0,
8,1,8_1,8_1_3,3,20,178,0,
8,2,8_2,8_2_2,2,20,196,0,
8,3,8_3,8_3_1,1,20,168,0,
8,3,8_3,8_3_2,2,20,156,0,
8,3,8_3,8_3_3,3,20,144,0,
8,4,8_4,8_4_1,1,20,173,0,
8,4,8_4,8_4_2,2,20,190,0,
8,4,8_4,8_4_3,3,20,153,0,
8,5,8_5,8_5_1,1,20,239,0,
8,5,8_5,8_5_2,2,20,134,0,
8,5,8_5,8_5_3,3,20,173,0,
11,2,11_2,11_2_1,1,20,26,1,possible rain during flowering
11,1,11_1,11_1_1,1,20,162,0,
11,1,11_1,11_1_2,2,20,232,0,
11,1,11_1,11_1_3,3,20,100,0,
11,3,11_3,11_3_1,1,20,248,0,
11,3,11_3,11_3_2,2,20,72,0,
17,1,17_1,17_1_1,1,20,275,0,
17,1,17_1,17_1_2,2,17,120,0,
17,1,17_1,17_1_3,3,20,183,0,
17,2,17_2,17_2_1,1,20,135,0,
17,2,17_2,17_2_2,2,20,286,0,
17,3,17_3,17_3_1,1,20,285,0,
17,3,17_3,17_3_2,2,20,74,0,
17,3,17_3,17_3_3,3,20,169,0,
17,4,17_4,17_4_1,1,20,350,0,
17,4,17_4,17_4_2,2,20,120,0,
17,4,17_4,17_4_3,3,20,106,0,
17,5,17_5,17_5_1,1,20,151,0,
17,5,17_5,17_5_2,2,20,147,0,
17,5,17_5,17_5_3,3,20,120,0,
19,1,19_1,19_1_1,1,20,117,0,
19,1,19_1,19_1_2,2,20,134,0,
19,1,19_1,19_1_3,3,20,139,0,
19,2,19_2,19_2_1,1,20,75,0,
19,2,19_2,19_2_2,2,20,42,0,
19,2,19_2,19_2_3,3,20,52,0,
19,3,19_3,19_3_1,1,20,88,0,
19,3,19_3,19_3_2,2,20,0,1,
19,3,19_3,19_3_3,3,20,0,1,
19,4,19_4,19_4_1,1,17,51,0,
19,4,19_4,19_4_2,2,19,39,0,
19,4,19_4,19_4_3,3,19,61,0,
25,1,25_1,25_1_1,1,20,177,0,
25,1,25_1,25_1_2,2,20,67,0,
25,1,25_1,25_1_3,3,20,66,0,
25,2,25_2,25_2_1,1,20,158,0,
25,2,25_2,25_2_2,2,20,198,0,
25,2,25_2,25_2_3,3,20,111,0,
25,3,25_3,25_3_1,1,20,322,0,
25,3,25_3,25_3_2,2,20,131,0,
25,3,25_3,25_3_3,3,20,128,0,
25,4,25_4,25_4_1,1,20,236,0,
25,5,25_5,25_5_1,1,20,233,0,
25,5,25_5,25_5_2,2,20,167,0,
25,5,25_5,25_5_3,3,20,136,0,
25,5,25_5,25_5_4,4,20,129,0,
27,1,27_1,27_1_1,1,20,200,0,
27,1,27_1,27_1_2,2,20,140,0,
27,1,27_1,27_1_3,3,20,88,0,
27,1,27_1,27_1_4,4,20,138,0,
27,1,27_1,27_1_5,5,20,157,0,
27,1,27_1,27_1_6,6,20,216,0,
27,2,27_2,27_2_1,1,20,185,0,
27,2,27_2,27_2_2,2,20,135,0,
27,3,27_3,27_3_1,1,20,212,0,
27,3,27_3,27_3_2,2,20,153,0,
27,3,27_3,27_3_3,3,20,85,0,
27,4,27_4,27_4_1,1,20,265,0,
27,4,27_4,27_4_2,2,20,189,0,
27,4,27_4,27_4_3,3,20,139,0,
28,1,28_1,28_1_1,1,20,260,0,
28,1,28_1,28_1_2,2,20,120,0,
28,1,28_1,28_1_3,3,20,35,0,
28,2,28_2,28_2_1,1,20,338,0,
28,3,28_3,28_3_1,1,20,219,0,
28,4,28_4,28_4_1,1,20,416,0,
30,1,30_1,30_1_1,1,20,199,0,
30,1,30_1,30_1_2,2,20,203,0,
30,1,30_1,30_1_3,3,20,87,0,
30,1,30_1,30_1_4,4,20,181,0,
30,1,30_1,30_1_5,5,20,139,0,
30,1,30_1,30_1_6,6,20,134,0,
30,2,30_2,30_2_1,1,20,122,0,
30,2,30_2,30_2_2,2,20,297,0,
30,2,30_2,30_2_3,3,20,151,0,
30,3,30_3,30_3_1,1,20,152,0,
30,3,30_3,30_3_2,2,20,168,0,
39,1,39_1,39_1_1,1,20,257,0,
39,1,39_1,39_1_2,2,20,112,0,
39,1,39_1,39_1_3,3,20,153,0,
39,2,39_2,39_2_1,1,20,192,0,
39,2,39_2,39_2_2,2,20,181,0,
39,2,39_2,39_2_3,3,20,128,0,
39,3,39_3,39_3_1,1,20,191,0,
39,3,39_3,39_3_2,2,20,103,0,
39,3,39_3,39_3_3,3,20,92,0,
39,4,39_4,39_4_1,1,20,201,0,
39,4,39_4,39_4_2,2,20,148,0,
39,4,39_4,39_4_3,3,20,141,0,
39,5,39_5,39_5_1,1,20,255,0,
40,1,40_1,40_1_2,2,14,41,1,possible rain during flowering
40,1,40_1,40_1_1,1,20,199,0,
40,2,40_2,40_2_1,1,20,135,0,
40,2,40_2,40_2_2,2,20,90,0,
40,2,40_2,40_2_3,3,20,195,0,
40,3,40_3,40_3_1,1,20,216,0,
40,3,40_3,40_3_2,2,20,68,0,
40,4,40_4,40_4_1,1,20,104,0,
40,5,40_5,40_5_1,1,20,216,0,
40,5,40_5,40_5_2,2,20,105,0,
40,5,40_5,40_5_3,3,20,62,0,
41,1,41_1,41_1_1,1,20,284,0,
41,1,41_1,41_1_2,2,20,325,0,
41,1,41_1,41_1_3,3,20,96,0,
41,2,41_2,41_2_1,1,20,221,0,
41,2,41_2,41_2_2,2,20,156,0,
41,2,41_2,41_2_3,3,20,104,0,
41,3,41_3,41_3_1,1,20,230,0,
41,4,41_4,41_4_1,1,20,238,0,
41,4,41_4,41_4_2,2,20,168,0,
41,4,41_4,41_4_3,3,20,167,0,
41,5,41_5,41_5_1,1,20,214,0,
41,5,41_5,41_5_2,2,20,177,0,
41,5,41_5,41_5_3,3,20,109,0,
47,2,47_2,47_2_1,1,20,1,1,unclear whether fertilized or development failure
47,1,47_1,47_1_1,1,20,250,0,
47,1,47_1,47_1_2,2,20,147,0,
47,1,47_1,47_1_3,3,20,113,0,
47,3,47_3,47_3_1,1,20,102,0,
47,3,47_3,47_3_2,2,20,128,0,
47,3,47_3,47_3_3,3,20,130,0,
47,3,47_3,47_3_4,4,20,124,0,
47,3,47_3,47_3_5,5,20,144,0,
47,4,47_4,47_4_1,1,20,93,0,
48,2,48_2,48_2_2,2,20,6,1,possible rain during flowering
48,1,48_1,48_1_1,1,20,261,0,
48,1,48_1,48_1_2,2,20,229,0,
48,1,48_1,48_1_3,3,20,236,0,
48,1,48_1,48_1_4,4,20,195,0,
48,1,48_1,48_1_5,5,20,153,0,
48,2,48_2,48_2_1,1,20,134,0,
48,3,48_3,48_3_1,1,20,199,0,
48,3,48_3,48_3_2,2,20,80,0,
48,3,48_3,48_3_3,3,20,117,0,
48,4,48_4,48_4_1,1,20,152,0,
48,4,48_4,48_4_2,2,20,104,0,
