Id,plant_nr,plant_id,n_inflorescences_assessed,n_inflorescences_excluded,n_flowers_with_fruits,n_flowers_without_fruits,comment
2,1,2_1,14,0,58,340,
2,2,2_2,4,0,8,91,
2,3,2_3,3,0,30,215,
7,1,7_1,1,0,1,36,
7,2,7_2,9,0,71,127,
8,1,8_1,2,0,11,43,
8,2,8_2,1,0,15,26,
8,3,8_3,1,0,26,13,
8,4,8_4,7,0,56,154,
8,5,8_5,1,0,6,28,
11,1,11_1,1,0,11,22,
11,2,11_2,2,0,2,75,
11,3,11_3,10,0,45,388,
11,4,11_4,13,4,79,237,
17,1,17_1,7,0,32,185,
17,2,17_2,7,0,30,198,
17,3,17_3,9,0,31,194,
17,4,17_4,1,0,7,19,
19,1,19_1,0,2,0,0,
19,2,19_2,5,0,8,138,
25,1,25_1,7,0,27,96,
25,2,25_2,3,0,41,184,
25,3,25_3,1,0,6,30,
25,4,25_4,2,0,4,91,
27,1,27_1,5,0,17,130,
27,2,27_2,3,0,8,104,
27,3,27_3,5,0,10,146,
28,1,28_1,0,1,0,0,
28,2,28_2,2,0,7,21,
30,1,30_1,6,3,26,122,
30,2,30_2,9,11,100,118,many inflorescences are rotten
39,1,39_1,2,0,34,28,
39,2,39_2,3,0,17,76,
39,3,39_3,2,0,12,61,
40,1,40_1,7,4,4,108,
40,2,40_2,9,0,43,208,
41,1,41_1,11,0,75,282,
41,2,41_2,1,0,1,15,
41,3,41_3,8,0,36,112,
41,4,41_4,3,0,3,92,
47,1,47_1,9,1,43,213,
47,2,47_2,3,0,25,70,
47,3,47_3,5,0,116,86,
48,1,48_1,8,1,19,177,
48,2,48_2,1,0,5,25,
48,3,48_3,0,1,0,0,
52,1,52_1,0,8,0,0,
52,2,52_2,2,3,1,34,
53,1,53_1,3,0,19,58,
53,2,53_2,1,0,0,41,
53,3,53_3,2,1,9,48,
56,1,56_1,7,1,18,160,
56,2,56_2,5,0,34,247,
56,3,56_3,11,4,14,140,
59,1,59_1,2,0,10,40,
59,2,59_2,2,0,26,14,
59,3,59_3,2,0,8,27,
59,4,59_4,5,0,22,88,
59,5,59_5,4,3,2,175,3 inflorensces excluded because they were not scorable
71,1,71_1,7,2,7,117,
71,2,71_2,9,0,29,233,
71,3,71_3,4,0,0,123,
73,1,73_1,3,2,5,89,
73,2,73_2,1,0,0,35,
83,1,83_1,7,2,34,141,
83,2,83_2,2,1,14,54,
84,1,84_1,3,0,8,66,
84,2,84_2,4,0,4,129,
85,1,85_1,19,0,101,383,
85,2,85_2,7,0,88,183,
85,3,85_3,1,0,3,60,
85,4,85_4,2,0,2,50,
