Id,plant_nr,plant_id,branch_nr,branch_id,n_flowers_with_fruits,n_flowers_without_fruits,comment
2,1,2_1,1,2_1_1,9,80,small pot (1.5L)
2,1,2_1,2,2_1_2,23,79,small pot (1.5L)
2,1,2_1,3,2_1_3,20,94,small pot (1.5L)
2,2,2_2,1,2_2_1,38,82,
2,2,2_2,2,2_2_2,20,65,
2,2,2_2,3,2_2_3,18,66,
2,2,2_2,4,2_2_4,25,55,
2,2,2_2,5,2_2_5,20,90,
2,2,2_2,6,2_2_6,16,97,
2,3,2_3,1,2_3_1,19,65,
2,3,2_3,2,2_3_2,14,86,
2,3,2_3,3,2_3_3,25,99,
2,3,2_3,4,2_3_4,27,103,
2,4,2_4,1,2_4_1,19,39,
2,4,2_4,2,2_4_2,28,57,
2,4,2_4,3,2_4_3,48,70,
2,4,2_4,4,2_4_4,40,88,
2,4,2_4,5,2_4_5,29,84,
2,4,2_4,6,2_4_6,26,54,
2,5,2_5,1,2_5_1,9,27,
2,5,2_5,2,2_5_2,14,39,
2,5,2_5,3,2_5_3,25,52,
2,5,2_5,4,2_5_4,42,79,
2,5,2_5,5,2_5_5,20,36,
2,5,2_5,6,2_5_6,33,70,
2,6,2_6,1,2_6_1,28,48,dry since weeks
2,6,2_6,2,2_6_2,19,63,dry since weeks
2,6,2_6,3,2_6_3,14,26,dry since weeks
2,6,2_6,4,2_6_4,28,50,dry since weeks
2,6,2_6,5,2_6_5,26,39,dry since weeks
2,6,2_6,6,2_6_6,26,60,dry since weeks
7,1,7_1,1,7_1_1,19,29,
7,1,7_1,2,7_1_2,33,59,
7,1,7_1,3,7_1_3,11,16,
7,1,7_1,4,7_1_4,12,20,
7,1,7_1,5,7_1_5,14,14,
7,2,7_2,1,7_2_1,46,64,
7,2,7_2,2,7_2_2,22,55,
7,2,7_2,3,7_2_3,25,47,
7,2,7_2,4,7_2_4,34,68,
7,2,7_2,5,7_2_5,19,48,
7,2,7_2,6,7_2_6,25,40,
7,3,7_3,1,7_3_1,18,26,
7,3,7_3,2,7_3_2,16,16,
7,3,7_3,3,7_3_3,22,46,
7,3,7_3,4,7_3_4,14,15,
7,3,7_3,5,7_3_5,24,39,
7,3,7_3,6,7_3_6,16,26,
7,3,7_3,7,7_3_7,24,35,
7,4,7_4,1,7_4_1,25,64,
7,4,7_4,2,7_4_2,43,70,
7,4,7_4,3,7_4_3,35,118,
7,4,7_4,4,7_4_4,36,112,
7,4,7_4,5,7_4_5,19,62,
7,4,7_4,6,7_4_6,39,94,
7,5,7_5,1,7_5_1,17,44,
7,5,7_5,2,7_5_2,26,54,
7,5,7_5,3,7_5_3,23,56,
7,5,7_5,4,7_5_4,26,91,
7,5,7_5,5,7_5_5,15,39,
7,5,7_5,6,7_5_6,34,96,
7,6,7_6,1,7_6_1,19,50,small pot (1.5L)
7,6,7_6,2,7_6_2,7,19,small pot (1.5L)
7,6,7_6,3,7_6_3,11,19,small pot (1.5L)
7,6,7_6,4,7_6_4,16,30,small pot (1.5L)
7,6,7_6,5,7_6_5,15,28,small pot (1.5L)
8,1,8_1,1,8_1_1,16,16,
8,1,8_1,2,8_1_2,17,85,
8,1,8_1,3,8_1_3,32,63,
8,1,8_1,4,8_1_4,31,58,
8,1,8_1,5,8_1_5,18,40,
8,1,8_1,6,8_1_6,22,84,
8,2,8_2,1,8_2_1,15,30,
8,2,8_2,2,8_2_2,10,43,
8,2,8_2,3,8_2_3,13,57,
8,2,8_2,4,8_2_4,11,30,
8,2,8_2,5,8_2_5,19,58,
8,2,8_2,6,8_2_6,20,89,
8,3,8_3,1,8_3_1,10,20,torn plant in cola bottle
8,3,8_3,2,8_3_2,9,22,torn plant in cola bottle
8,3,8_3,3,8_3_3,24,33,torn plant in cola bottle
8,3,8_3,4,8_3_4,17,30,torn plant in cola bottle
8,3,8_3,5,8_3_5,12,45,torn plant in cola bottle
8,3,8_3,6,8_3_6,19,30,torn plant in cola bottle
8,4,8_4,1,8_4_1,20,51,
8,4,8_4,2,8_4_2,35,93,
8,4,8_4,3,8_4_3,38,53,
8,4,8_4,4,8_4_4,44,60,
8,4,8_4,5,8_4_5,38,74,
8,5,8_5,1,8_5_1,32,48,
8,5,8_5,2,8_5_2,26,38,
8,5,8_5,3,8_5_3,9,35,
8,5,8_5,4,8_5_4,20,39,
8,5,8_5,5,8_5_5,22,30,
8,5,8_5,6,8_5_6,24,39,
8,6,8_6,1,8_6_1,22,38,small pot (1.5L)
8,6,8_6,2,8_6_2,15,25,small pot (1.5L)
8,6,8_6,3,8_6_3,14,41,small pot (1.5L)
8,6,8_6,4,8_6_4,19,56,small pot (1.5L)
11,1,11_1,1,11_1_1,9,32,
11,1,11_1,2,11_1_2,21,70,
11,1,11_1,3,11_1_3,19,76,
11,1,11_1,4,11_1_4,20,69,
11,1,11_1,5,11_1_5,29,79,
11,1,11_1,6,11_1_6,12,56,
11,2,11_2,1,11_2_1,23,40,
11,2,11_2,2,11_2_2,44,80,
11,2,11_2,3,11_2_3,25,49,
11,2,11_2,4,11_2_4,16,59,
11,2,11_2,5,11_2_5,18,46,
11,2,11_2,6,11_2_6,33,75,
11,3,11_3,1,11_3_1,10,21,
11,3,11_3,2,11_3_2,21,62,
11,3,11_3,3,11_3_3,18,44,
11,3,11_3,4,11_3_4,22,70,
11,3,11_3,5,11_3_5,23,47,
11,3,11_3,6,11_3_6,16,41,
11,4,11_4,1,11_4_1,26,76,small pot (1.5L)
11,4,11_4,2,11_4_2,23,69,small pot (1.5L)
11,4,11_4,3,11_4_3,18,54,small pot (1.5L)
11,4,11_4,4,11_4_4,22,88,small pot (1.5L)
11,4,11_4,5,11_4_5,8,23,small pot (1.5L)
11,5,11_5,1,11_5_1,18,64,
11,5,11_5,2,11_5_2,17,40,
11,5,11_5,3,11_5_3,11,37,
11,5,11_5,4,11_5_4,14,50,
11,5,11_5,5,11_5_5,13,50,
11,5,11_5,6,11_5_6,9,22,
11,6,11_6,1,11_6_1,18,43,
11,6,11_6,2,11_6_2,8,15,
11,6,11_6,3,11_6_3,13,32,
11,6,11_6,4,11_6_4,10,12,
11,6,11_6,5,11_6_5,11,27,
