Id,plant_nr,plant_id,fruit_nr,fruit_id,n_seeds,excluded,comment
2,1,2_1,1,2_1_1,2,0,
2,1,2_1,2,2_1_2,2,0,
2,1,2_1,3,2_1_3,1,0,
2,1,2_1,4,2_1_4,1,0,
2,1,2_1,5,2_1_5,2,0,
2,1,2_1,6,2_1_6,1,0,
2,1,2_1,7,2_1_7,1,0,
2,1,2_1,8,2_1_8,2,0,
2,1,2_1,9,2_1_9,1,0,
2,1,2_1,10,2_1_10,1,0,
2,1,2_1,11,2_1_11,1,0,
2,1,2_1,12,2_1_12,1,0,
2,1,2_1,13,2_1_13,2,0,
2,1,2_1,14,2_1_14,2,0,
2,1,2_1,15,2_1_15,3,0,
2,1,2_1,16,2_1_16,1,0,
2,1,2_1,17,2_1_17,1,0,
2,1,2_1,18,2_1_18,1,0,
2,1,2_1,19,2_1_19,2,0,
2,1,2_1,20,2_1_20,1,0,
2,1,2_1,21,2_1_21,2,0,
2,1,2_1,22,2_1_22,2,0,
2,1,2_1,23,2_1_23,1,0,
2,1,2_1,24,2_1_24,1,0,
2,1,2_1,25,2_1_25,1,0,
2,1,2_1,26,2_1_26,1,0,
2,1,2_1,27,2_1_27,1,0,
2,1,2_1,28,2_1_28,2,0,
2,1,2_1,29,2_1_29,1,0,
2,1,2_1,30,2_1_30,1,0,
2,1,2_1,31,2_1_31,1,0,
2,1,2_1,32,2_1_32,2,0,
2,1,2_1,33,2_1_33,2,0,
2,1,2_1,34,2_1_34,2,0,
2,1,2_1,35,2_1_35,1,0,
2,1,2_1,36,2_1_36,1,0,
2,1,2_1,37,2_1_37,2,0,
2,1,2_1,38,2_1_38,1,0,
2,1,2_1,39,2_1_39,1,0,
2,1,2_1,40,2_1_40,1,0,
2,1,2_1,41,2_1_41,1,0,
2,1,2_1,42,2_1_42,1,0,
2,1,2_1,43,2_1_43,3,0,
2,1,2_1,44,2_1_44,1,0,
2,1,2_1,45,2_1_45,1,0,
2,1,2_1,46,2_1_46,1,0,
2,1,2_1,47,2_1_47,2,0,
2,1,2_1,48,2_1_48,3,0,
2,1,2_1,49,2_1_49,2,0,
2,1,2_1,50,2_1_50,2,0,
