Id,plant_nr,plant_id,branch_n,branch_id,n_flowers_with_seeds,n_flowers_without_seeds,excluded,comment
2,1,2_1,1,2_1_1,65,26,0,
2,2,2_2,1,2_2_1,27,11,0,
2,2,2_2,2,2_2_2,40,17,0,
2,3,2_3,1,2_3_1,49,51,0,
2,3,2_3,2,2_3_2,31,5,0,
2,3,2_3,3,2_3_3,16,72,0,
7,1,7_1,1,7_1_1,50,29,0,
7,2,7_2,1,7_2_1,80,58,0,
7,2,7_2,2,7_2_2,69,35,0,
7,3,7_3,1,7_3_1,35,104,0,
7,3,7_3,2,7_3_2,12,74,0,
8,1,8_1,1,8_1_1,61,44,0,
8,1,8_1,2,8_1_2,17,32,0,
8,1,8_1,3,8_1_3,14,52,0,
8,1,8_1,4,8_1_4,14,60,0,
8,2,8_2,1,8_2_1,61,27,0,
8,2,8_2,2,8_2_2,34,32,0,
8,3,8_3,1,8_3_1,7,71,0,
11,3,11_3,1,11_3_1,2,38,1,Plant with a bit water stress at the end
11,1,11_1,1,11_1_1,75,29,0,
11,1,11_1,2,11_1_2,67,14,0,
11,2,11_2,1,11_2_1,35,108,0,
11,2,11_2,2,11_2_2,27,38,0,
11,2,11_2,3,11_2_3,27,25,0,
11,2,11_2,4,11_2_4,26,37,0,
11,3,11_3,2,11_3_2,0,60,0,
11,3,11_3,3,11_3_3,1,102,0,
11,3,11_3,4,11_3_4,1,63,0,
17,1,17_1,1,17_1_1,58,16,0,
17,1,17_1,2,17_1_2,54,13,0,
17,2,17_2,1,17_2_1,36,18,0,
17,2,17_2,2,17_2_2,40,18,0,
17,3,17_3,1,17_3_1,54,25,0,
17,3,17_3,2,17_3_2,28,38,0,
19,1,19_1,1,19_1_1,26,91,0,
19,1,19_1,2,19_1_2,22,48,0,
19,1,19_1,3,19_1_3,104,70,0,
19,2,19_2,1,19_2_1,3,0,0,
19,2,19_2,2,19_2_2,37,27,0,
19,2,19_2,3,19_2_3,31,32,0,
19,3,19_3,1,19_3_1,29,50,0,
19,3,19_3,2,19_3_2,45,71,0,
19,3,19_3,3,19_3_3,57,133,0,
25,1,25_1,1,25_1_1,24,6,0,
25,1,25_1,2,25_1_2,78,6,0,
25,2,25_2,1,25_2_1,5,29,0,
25,2,25_2,2,25_2_2,122,35,0,
25,3,25_3,1,25_3_1,18,139,0,
25,3,25_3,2,25_3_2,14,72,0,
25,3,25_3,3,25_3_3,8,99,0,
25,3,25_3,4,25_3_4,35,63,0,
27,1,27_1,1,27_1_1,4,23,0,
27,1,27_1,2,27_1_2,1,31,0,
27,2,27_2,1,27_2_1,4,71,0,
27,3,27_3,1,27_3_1,25,67,0,
27,3,27_3,2,27_3_2,6,73,0,
27,3,27_3,3,27_3_3,2,154,0,
27,3,27_3,4,27_3_4,0,33,0,
28,1,28_1,1,28_1_1,98,15,0,
28,2,28_2,1,28_2_1,46,34,0,
28,2,28_2,2,28_2_2,15,4,0,
28,3,28_3,1,28_3_1,141,94,0,
28,3,28_3,2,28_3_2,91,62,0,
30,1,30_1,1,30_1_1,34,5,0,
30,1,30_1,2,30_1_2,13,8,0,
30,1,30_1,3,30_1_3,27,11,0,
30,1,30_1,4,30_1_4,29,17,0,
30,2,30_2,1,30_2_1,18,21,0,
30,2,30_2,2,30_2_2,59,19,0,
30,3,30_3,1,30_3_1,51,80,0,
30,3,30_3,2,30_3_2,35,55,0,
30,3,30_3,3,30_3_3,53,68,0,
30,3,30_3,4,30_3_4,39,81,0,
39,3,39_3,2,39_3_2,1,40,1,potential outlier which bloomed very early
39,1,39_1,1,39_1_1,23,60,0,
39,1,39_1,2,39_1_2,83,43,0,
39,2,39_2,1,39_2_1,26,54,0,
39,2,39_2,2,39_2_2,6,45,0,
39,3,39_3,1,39_3_1,13,2,0,
40,1,40_1,1,40_1_1,54,144,0,
40,2,40_2,1,40_2_1,90,28,0,
40,3,40_3,1,40_3_1,40,69,0,
40,3,40_3,2,40_3_2,31,137,0,
40,3,40_3,3,40_3_3,23,82,0,
40,3,40_3,4,40_3_4,48,27,0,
41,1,41_1,1,41_1_1,34,9,0,
41,1,41_1,2,41_1_2,12,24,0,
41,2,41_2,1,41_2_1,74,37,0,
41,3,41_3,1,41_3_1,84,55,0,
41,3,41_3,2,41_3_2,51,41,0,
41,3,41_3,3,41_3_3,8,2,0,
47,1,47_1,1,47_1_1,81,22,0,
47,1,47_1,2,47_1_2,98,31,0,
47,2,47_2,1,47_2_1,93,20,0,
47,3,47_3,1,47_3_1,60,47,0,
47,3,47_3,2,47_3_2,27,40,0,
47,3,47_3,3,47_3_3,17,26,0,
48,1,48_1,1,48_1_1,31,33,0,
48,1,48_1,2,48_1_2,13,84,0,
48,2,48_2,1,48_2_1,11,104,0,
48,2,48_2,2,48_2_2,1,11,0,
48,2,48_2,3,48_2_3,0,70,0,
48,3,48_3,1,48_3_1,17,8,0,
48,4,48_4,1,48_4_1,25,39,0,
52,3,52_3,1,52_3_1,16,140,1,one of the youngest branches
52,3,52_3,4,52_3_4,14,132,1,one of the youngest branches
52,1,52_1,1,52_1_1,135,15,0,
52,1,52_1,2,52_1_2,41,28,0,
52,2,52_2,1,52_2_1,75,33,0,
52,2,52_2,2,52_2_2,72,45,0,
52,3,52_3,2,52_3_2,112,56,0,
52,3,52_3,3,52_3_3,46,66,0,
53,1,53_1,1,53_1_1,96,21,0,
53,2,53_2,1,53_2_1,36,28,0,
53,2,53_2,2,53_2_2,4,16,0,
53,3,53_3,1,53_3_1,78,168,0,
53,3,53_3,2,53_3_2,10,42,0,
53,3,53_3,3,53_3_3,16,122,0,
56,1,56_1,1,56_1_1,117,22,0,
56,2,56_2,1,56_2_1,38,102,0,
56,3,56_3,1,56_3_1,71,65,0,
59,1,59_1,1,59_1_1,19,83,0,
59,1,59_1,2,59_1_2,34,25,0,
59,2,59_2,1,59_2_1,33,21,0,
59,3,59_3,1,59_3_1,96,48,0,
59,3,59_3,2,59_3_2,6,63,0,
59,3,59_3,3,59_3_3,23,146,0,
59,3,59_3,4,59_3_4,8,82,0,
71,1,71_1,1,71_1_1,53,37,0,
71,1,71_1,2,71_1_2,4,1,0,
71,1,71_1,3,71_1_3,14,2,0,
71,2,71_2,1,71_2_1,69,33,0,
71,3,71_3,1,71_3_1,76,157,0,
71,3,71_3,2,71_3_2,41,105,0,
71,3,71_3,3,71_3_3,72,156,0,
73,1,73_1,1,73_1_1,10,86,0,
73,1,73_1,2,73_1_2,3,14,0,
73,1,73_1,3,73_1_3,5,14,0,
73,2,73_2,1,73_2_1,9,48,0,
73,2,73_2,2,73_2_2,43,37,0,
73,2,73_2,3,73_2_3,11,61,0,
73,3,73_3,1,73_3_1,9,98,0,
73,3,73_3,2,73_3_2,4,66,0,
73,3,73_3,3,73_3_3,6,53,0,
73,3,73_3,4,73_3_4,0,17,0,
83,1,83_1,1,83_1_1,1,90,1,
83,2,83_2,1,83_2_1,20,4,0,
83,2,83_2,2,83_2_2,41,12,0,
83,3,83_3,1,83_3_1,10,57,0,
83,3,83_3,2,83_3_2,83,58,0,
84,1,84_1,1,84_1_1,19,13,0,
84,1,84_1,2,84_1_2,111,18,0,
84,2,84_2,1,84_2_1,41,25,0,
84,2,84_2,2,84_2_2,42,17,0,
84,2,84_2,3,84_2_3,13,2,0,
84,3,84_3,1,84_3_1,90,163,0,
85,1,85_1,1,85_1_1,41,17,0,
85,1,85_1,2,85_1_2,8,21,0,
85,2,85_2,1,85_2_1,23,11,0,
85,2,85_2,2,85_2_2,48,10,0,
85,2,85_2,3,85_2_3,22,24,0,
85,3,85_3,1,85_3_1,96,68,0,
85,3,85_3,2,85_3_2,32,50,0,
