Id,plant_nr,plant_id,branch_nr,branch_id,flower_nr,flower_id,n_seeds,n_unfertilized_ovules,comment
2,1,2_1,1,2_1_1,1,2_1_1_1,2,2,
2,1,2_1,1,2_1_1,2,2_1_1_2,1,3,
2,1,2_1,1,2_1_1,3,2_1_1_3,2,2,
2,1,2_1,1,2_1_1,4,2_1_1_4,1,3,
2,1,2_1,1,2_1_1,5,2_1_1_5,1,3,
2,1,2_1,1,2_1_1,6,2_1_1_6,3,1,
2,1,2_1,1,2_1_1,7,2_1_1_7,1,3,
2,1,2_1,1,2_1_1,8,2_1_1_8,2,2,
2,1,2_1,1,2_1_1,9,2_1_1_9,1,3,
2,1,2_1,1,2_1_1,10,2_1_1_10,4,0,
2,1,2_1,1,2_1_1,11,2_1_1_11,2,2,
2,1,2_1,1,2_1_1,12,2_1_1_12,2,2,
2,1,2_1,1,2_1_1,13,2_1_1_13,2,2,
2,1,2_1,1,2_1_1,14,2_1_1_14,1,3,
2,1,2_1,1,2_1_1,15,2_1_1_15,1,3,
2,1,2_1,1,2_1_1,16,2_1_1_16,1,3,
2,1,2_1,1,2_1_1,17,2_1_1_17,1,3,
2,1,2_1,1,2_1_1,18,2_1_1_18,1,3,
2,1,2_1,1,2_1_1,19,2_1_1_19,1,3,
2,1,2_1,1,2_1_1,20,2_1_1_20,1,3,
2,1,2_1,1,2_1_1,21,2_1_1_21,1,3,
2,1,2_1,1,2_1_1,22,2_1_1_22,3,1,
2,1,2_1,1,2_1_1,23,2_1_1_23,1,3,
2,1,2_1,1,2_1_1,24,2_1_1_24,2,2,
2,1,2_1,1,2_1_1,25,2_1_1_25,1,3,
2,1,2_1,1,2_1_1,26,2_1_1_26,1,3,
2,1,2_1,1,2_1_1,27,2_1_1_27,2,2,
2,1,2_1,1,2_1_1,28,2_1_1_28,2,2,
2,1,2_1,1,2_1_1,29,2_1_1_29,1,3,
2,1,2_1,1,2_1_1,30,2_1_1_30,1,3,
2,1,2_1,1,2_1_1,31,2_1_1_31,1,3,
2,1,2_1,1,2_1_1,32,2_1_1_32,1,3,
2,1,2_1,1,2_1_1,33,2_1_1_33,1,3,
2,1,2_1,1,2_1_1,34,2_1_1_34,1,3,
